Name,Name Label,Category,Variant 1 - Name,Variant 1 - Price,Variant 1 - SKU,Variant 1 - In Stock (DO NOT EDIT),Variant 1 - Track Stock,Variant 1 - Alert,Variant 1 - Stock Alert,Variant 1 - Track Cost
CBUA433 UA QL6601 - DARK GREY (MI),CBUA433 UA QL6601 - DARK GREY (MI),CELANA PENDEK,M,100000,CBUA433M,6,Yes,No,0,Yes
CBUA433 UA QL6601 - DARK GREY (MI),CBUA433 UA QL6601 - DARK GREY (MI),CELANA PENDEK,L,100000,CBUA433L,8,Yes,No,0,Yes
CBUA433 UA QL6601 - DARK GREY (MI),CBUA433 UA QL6601 - DARK GREY (MI),CELANA PENDEK,XL,100000,CBUA433XL,6,Yes,No,0,Yes
CBUA433 UA QL6601 - DARK GREY (MI),CBUA433 UA QL6601 - DARK GREY (MI),CELANA PENDEK,2XL,100000,CBUA4332X,4,Yes,No,0,Yes
CBUA432 UA QL6601 - BLACK (MI),CBUA432 UA QL6601 - BLACK (MI),CELANA PENDEK,M,100000,CBUA432M,7,Yes,No,0,Yes
CBUA432 UA QL6601 - BLACK (MI),CBUA432 UA QL6601 - BLACK (MI),CELANA PENDEK,L,100000,CBUA432L,10,Yes,No,0,Yes
CBUA432 UA QL6601 - BLACK (MI),CBUA432 UA QL6601 - BLACK (MI),CELANA PENDEK,XL,100000,CBUA432XL,6,Yes,No,0,Yes
CBUA432 UA QL6601 - BLACK (MI),CBUA432 UA QL6601 - BLACK (MI),CELANA PENDEK,2XL,100000,CBUA4322X,4,Yes,No,0,Yes
